author,year,journal,citation,table_figure,source_id
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 15,378
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 16,379
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 17,380
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 19,381
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 20,382
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 22,383
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 23,384
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 24,385
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 25,386
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 26,387
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 27,388
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 29,389
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 30,390
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 32,391
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 33,392
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 34,393
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 36,394
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 37,395
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 38,396
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 40,397
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 41,398
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 6,400
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 7,401
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 8,402
Knoppel et al.,1970,AMAZONIANA,"Knoppel, H. A., Knöppel, H. A., & Knoppel, H. (1970). Food of central Amazonian fishes. Contribution on of the nutrient-ecology of Amazonian rain forest streams.",tbl 9,403
Vijayakumar et al.,1985,Netherlands journal of zoology,"Vijayakumar, B., Padmanabhan, K. G., Kortmulder, K., & Kumar, K. P. (1985). Food and feeding habits of two cyprinid forage fishes, Puntius (= Barbus) filamentosus (Val.) and P. amphibius (Val.) from South Kerala, India. Netherlands journal of zoology, 36(4), 449-460.",tbl 2,759
Vijayakumar et al.,1985,Netherlands journal of zoology,"Vijayakumar, B., Padmanabhan, K. G., Kortmulder, K., & Kumar, K. P. (1985). Food and feeding habits of two cyprinid forage fishes, Puntius (= Barbus) filamentosus (Val.) and P. amphibius (Val.) from South Kerala, India. Netherlands journal of zoology, 36(4), 449-460.",tbl 6,760
Lachner,1950,The Journal of Wildlife Management,"Lachner, E. A. (1950). Food, growth and habits of fingerling northern smallmouth bass, Micropterus dolomieu dolomieu Lacepede, in trout waters of western New York. The Journal of Wildlife Management, 50-56.",tbl 2,419
Leonard,1939,Transactions of the American Fisheries Society,"Leonard, J. W. (1939). Feeding Habits of the Montana Grayling (Thymallus Montanus Milner) in Ford Lake, Michigan. Transactions of the American Fisheries Society, 68(1), 188-195.",tbl 1,426
Leonard,1942,Transactions of the American Fisheries Society,"Leonard, J. W. (1942). Some observations on the winter feeding habits of brook trout fingerlings in relation to natural food organisms present. Transactions of the American Fisheries Society, 71(1), 219-227.",tbl 5,427
Leonard,1942,Transactions of the American Fisheries Society,"Leonard, J. W. (1942). Some observations on the winter feeding habits of brook trout fingerlings in relation to natural food organisms present. Transactions of the American Fisheries Society, 71(1), 219-227.",tbl 7,428
Liang et al.,2008,Aquaculture Research,"Liang, X. F., Lin, X., Li, S., & Liu, J. K. (2008). Impact of environmental and innate factors on the food habit of Chinese perch Siniperca chuatsi (Basilewsky)(Percichthyidae). Aquaculture Research, 39(2), 150-157.",tbl 3,433
Lopes et al.,2017,Biological Sciences,"Lopes, D. A., Vieira, K. R. I., da Silva Mota, R., de Souza, M. R. F., dos Santos Costa, F. E., & Paiva, F. (2017). Opportunistic diet of Triportheus nematurus (Characiformes: Triportheidae) in Southern Pantanal ponds: influences of temporal availability and abundance of resources. Acta Scientiarum. Biological Sciences, 39(4), 441447.",tbl 1,437
Madenjian et al.,1998,Transactions of the American Fisheries Society,"Madenjian, C. P., Desorcie, T. J., & Stedman, R. M. (1998). Ontogenic and spatial patterns in diet and growth of lake trout in Lake Michigan. Transactions of the American Fisheries Society, 127(2), 236-252.",tbl A,443
Magalhães,1993,Oecologia,"Magalhães, M. F. (1993). Feeding of an Iberian stream cyprinid assemblage: seasonality of resource use in a highly variable environment. Oecologia, 96(2), 253-260.",apdx 1,445
Magalhães,1993,Oecologia,"Magalhães, M. F. (1993). Feeding of an Iberian stream cyprinid assemblage: seasonality of resource use in a highly variable environment. Oecologia, 96(2), 253-260.",apdx 2,446
Magalhães,1993,Oecologia,"Magalhães, M. F. (1993). Feeding of an Iberian stream cyprinid assemblage: seasonality of resource use in a highly variable environment. Oecologia, 96(2), 253-260.",apdx 3,447
Magalhães,1993,Oecologia,"Magalhães, M. F. (1993). Feeding of an Iberian stream cyprinid assemblage: seasonality of resource use in a highly variable environment. Oecologia, 96(2), 253-260.",tbl 2,448
Maitland,1965,The Journal of Animal Ecology,"Maitland, P. S. (1965). The feeding relationships of salmon, trout, minnows, stone loach and threespined sticklebacks in the River Endrick, Scotland. The Journal of Animal Ecology, 109133.",tbl 2,449
Malmquist et al.,1992,Journal of Animal Ecology,"Malmquist, H. J., Snorrason, S. S., Skulason, S., Jonsson, B., Sandlund, O. T., & Jonasson, P. M. (1992). Diet differentiation in polymorphic Arctic charr in Thingvallavatn, Iceland. Journal of Animal Ecology, 21-35.",tbl 1,455
Malmquist et al.,1992,Journal of Animal Ecology,"Malmquist, H. J., Snorrason, S. S., Skulason, S., Jonsson, B., Sandlund, O. T., & Jonasson, P. M. (1992). Diet differentiation in polymorphic Arctic charr in Thingvallavatn, Iceland. Journal of Animal Ecology, 21-35.",tbl 10,456
Malmquist et al.,1992,Journal of Animal Ecology,"Malmquist, H. J., Snorrason, S. S., Skulason, S., Jonsson, B., Sandlund, O. T., & Jonasson, P. M. (1992). Diet differentiation in polymorphic Arctic charr in Thingvallavatn, Iceland. Journal of Animal Ecology, 21-35.",tbl 6,457
Malmquist et al.,1992,Journal of Animal Ecology,"Malmquist, H. J., Snorrason, S. S., Skulason, S., Jonsson, B., Sandlund, O. T., & Jonasson, P. M. (1992). Diet differentiation in polymorphic Arctic charr in Thingvallavatn, Iceland. Journal of Animal Ecology, 21-35.",tbl 9,458
Manfield & McArdle,1998,New Zealand Journal of Marine and Freshwater Research,"Mansfield, S., & McArdle, B. H. (1998). Dietary composition of Gambusia affinis (Family Poeciliidae) populations in the northern Waikato region of New Zealand. New Zealand Journal of Marine and Freshwater Research, 32(3), 375-383.",tbl 5,459
Markle and Grant,1970,Chesapeake Science,"Markle, D. F., & Grant, G. C. (1970). The summer food habits of young-of-the year striped bass in three Virginia rivers. Chesapeake Science, 11(1), 50-54.",tbl 1,464
Mathur,1973,Transactions of the American Fisheries Society,"Mathur, D. (1973). Food habits and feeding chronology of the blackbanded darter, Percina nigrofasciata (Agassiz), in Halawakee Creek, Alabama. Transactions of the American Fisheries Society, 102(1), 48-55.",tbl 3,474
Mathur,1973,Transactions of the American Fisheries Society,"Mathur, D. (1973). Food habits and feeding chronology of the blackbanded darter, Percina nigrofasciata (Agassiz), in Halawakee Creek, Alabama. Transactions of the American Fisheries Society, 102(1), 48-55.",tbl 4,475
Masdeu et al.,2011,Neotropical Ichthyology,"Masdeu, M., Mello, F. T. D., Loureiro, M., & Arim, M. (2011). Feeding habits and morphometry of Iheringichthys labrosus (Lütken, 1874) in the Uruguay River (Uruguay). Neotropical Ichthyology, 9(3), 657664.",tbl 3,472
Massmann,1963,Chesapeake Science,"Massmann, W. H. (1963). Summer food of juvenile American shad in Virginia waters. Chesapeake Science, 4(4), 167-171.",tbl3,473
Marthur,1972,American Midland Naturalist,"Mathur, D. (1972). Seasonal food habits of adult white crappie, Pomoxis annularis Rafinesque, in Conowingo Reservoir. American Midland Naturalist, 236-241.",tbl 2,469
Mazzoni et al.,2010,Brazilian Journal of Biology,"Mazzoni, R., Moraes, M., Rezende, C. F., & Iglesias-Rios, R. (2010). Diet and feeding daily rhythm of Pimelodella lateristriga (Osteichthyes, Siluriformes) in a coastal stream from Serra do Mar-RJ. Brazilian Journal of Biology, 70(4), 1123-1129.",tbl 1,478
Merona & Rankin-de-Merona,2004,Neotropical Ichthyology,"Mérona, B. D., & Rankin-de-Mérona, J. (2004). Food resource partitioning in a fish community of the central Amazon floodplain. Neotropical Ichthyology, 2(2), 75-84.",tbl 1,481
Merona & Rankin-de-Merona,2004,Neotropical Ichthyology,"Mérona, B. D., & Rankin-de-Mérona, J. (2004). Food resource partitioning in a fish community of the central Amazon floodplain. Neotropical Ichthyology, 2(2), 75-84.",tbl 2,482
Milardi et al.,2016,Freshwater Biology,"Milardi, M., Thomas, S. M., & Kahilainen, K. K. (2016). Reliance of brown trout on terrestrial prey varies with season but not fish density. Freshwater Biology, 61(7), 1143-1156.",tbl 1,488
Mittelbach,1984,Ecology,"Mittelbach, G. G. (1984). Predation and resource partitioning in two sunfishes (Centrarchidae). Ecology, 65(2), 499-513.",tbl 1,495
Mittelbach,1985,Ecology,"Mittelbach, G. G. (1984). Predation and resource partitioning in two sunfishes (Centrarchidae). Ecology, 65(2), 499-513.",tbl 1,496
Mittelbach,1986,Ecology,"Mittelbach, G. G. (1984). Predation and resource partitioning in two sunfishes (Centrarchidae). Ecology, 65(2), 499-513.",tbl 1,497
Mittelbach,1987,Ecology,"Mittelbach, G. G. (1984). Predation and resource partitioning in two sunfishes (Centrarchidae). Ecology, 65(2), 499-513.",tbl 1,498
Mittelbach,1988,Ecology,"Mittelbach, G. G. (1984). Predation and resource partitioning in two sunfishes (Centrarchidae). Ecology, 65(2), 499-513.",tbl 1,499
Mittelbach,1989,Ecology,"Mittelbach, G. G. (1984). Predation and resource partitioning in two sunfishes (Centrarchidae). Ecology, 65(2), 499-513.",tbl 1,500
Mittelbach,1990,Ecology,"Mittelbach, G. G. (1984). Predation and resource partitioning in two sunfishes (Centrarchidae). Ecology, 65(2), 499-513.",tbl 1,501
Mittelbach,1991,Ecology,"Mittelbach, G. G. (1984). Predation and resource partitioning in two sunfishes (Centrarchidae). Ecology, 65(2), 499-513.",tbl 1,502
Mittelbach,1992,Ecology,"Mittelbach, G. G. (1984). Predation and resource partitioning in two sunfishes (Centrarchidae). Ecology, 65(2), 499-513.",tbl 1,503
Mittelbach,1993,Ecology,"Mittelbach, G. G. (1984). Predation and resource partitioning in two sunfishes (Centrarchidae). Ecology, 65(2), 499-513.",tbl 1,504
Mittelbach,1995,Ecology,"Mittelbach, G. G. (1984). Predation and resource partitioning in two sunfishes (Centrarchidae). Ecology, 65(2), 499-513.",tbl 1,505
Mittelbach,1996,Ecology,"Mittelbach, G. G. (1984). Predation and resource partitioning in two sunfishes (Centrarchidae). Ecology, 65(2), 499-513.",tbl 1,506
Mkumbo,1992,Hydrobiologia,"Mkumbo, O. C., & Ligtvoet, W. (1992). Changes in the diet of Nile perch, Lates niloticus (L), in the Mwanza Gulf, Lake Victoria. Hydrobiologia, 232(1), 79-83.",tbl 1,508
Mosepele et al.,2012,Acta ichthyologica et piscatoria,"Mosepele, K., Mosepele, B., Wolski, P., & Kolding, J. (2012). DYNAMICS OF THE FEEDING ECOLOGY OF SELECTED FISH SPECIES FROM THE OKAVANGO RIVER DELTA, BOTSWANA. Acta Ichthyologica et Piscatoria, 42(4).",tbl3,516
Mosepele et al.,2012,Acta ichthyologica et piscatoria,"Mosepele, K., Mosepele, B., Wolski, P., & Kolding, J. (2012). DYNAMICS OF THE FEEDING ECOLOGY OF SELECTED FISH SPECIES FROM THE OKAVANGO RIVER DELTA, BOTSWANA. Acta Ichthyologica et Piscatoria, 42(4).",tbl4,517
Mosepele et al.,2012,Acta ichthyologica et piscatoria,"Mosepele, K., Mosepele, B., Wolski, P., & Kolding, J. (2012). DYNAMICS OF THE FEEDING ECOLOGY OF SELECTED FISH SPECIES FROM THE OKAVANGO RIVER DELTA, BOTSWANA. Acta Ichthyologica et Piscatoria, 42(4).",tbl5,518
Mosepele et al.,2012,Acta ichthyologica et piscatoria,"Mosepele, K., Mosepele, B., Wolski, P., & Kolding, J. (2012). DYNAMICS OF THE FEEDING ECOLOGY OF SELECTED FISH SPECIES FROM THE OKAVANGO RIVER DELTA, BOTSWANA. Acta Ichthyologica et Piscatoria, 42(4).",tbl6,519
Mosepele et al.,2012,Acta ichthyologica et piscatoria,"Mosepele, K., Mosepele, B., Wolski, P., & Kolding, J. (2012). DYNAMICS OF THE FEEDING ECOLOGY OF SELECTED FISH SPECIES FROM THE OKAVANGO RIVER DELTA, BOTSWANA. Acta Ichthyologica et Piscatoria, 42(4).",tbl7,520
Mosepele et al.,2012,Acta ichthyologica et piscatoria,"Mosepele, K., Mosepele, B., Wolski, P., & Kolding, J. (2012). DYNAMICS OF THE FEEDING ECOLOGY OF SELECTED FISH SPECIES FROM THE OKAVANGO RIVER DELTA, BOTSWANA. Acta Ichthyologica et Piscatoria, 42(4).",tbl8,521
Mosepele et al.,2012,Acta ichthyologica et piscatoria,"Mosepele, K., Mosepele, B., Wolski, P., & Kolding, J. (2012). DYNAMICS OF THE FEEDING ECOLOGY OF SELECTED FISH SPECIES FROM THE OKAVANGO RIVER DELTA, BOTSWANA. Acta Ichthyologica et Piscatoria, 42(4).",tbl9,522
Mosepele et al.,2012,Acta ichthyologica et piscatoria,"Mosepele, K., Mosepele, B., Wolski, P., & Kolding, J. (2012). DYNAMICS OF THE FEEDING ECOLOGY OF SELECTED FISH SPECIES FROM THE OKAVANGO RIVER DELTA, BOTSWANA. Acta Ichthyologica et Piscatoria, 42(4).",tbl10,515
Moshin & Gallaway,1977,The Southwestern Naturalist,"Moshin, A. M., & Gallaway, B. J. (1977). Seasonal abundance, distribution, food habitats and condition of the southern brook lamprey, Ichthyomyzon gagei Hubbs & Trautman, in an east Texas watershed. The Southwestern Naturalist, 107-114.",tbl 1,523
Muir et al.,1988,California Fish and Game,"Muir, W. D., Emmett, R. L., & McConnell, R. J. (1988). Diet of juvenile and subadult white sturgeon in the lower Columbia River and its estuary. California Fish and Game, 74(1), 49-54.",tbl 1,529
Muoneke et al.,1992,Journal of Fish Biology,"Muoneke, M. I., Henry, C. C., & Maughan, O. E. (1992). Population structure and food habits of white crappie Pomoxis annularis Rafinesque in a turbid Oklahoma reservoir. Journal of Fish Biology, 41(4), 647-654.",tbl 3,532
Murphy et al.,2005,In Proc Annu Conf Southeast Assoc Fish and Wildl Agencies,"Murphy, G. W., Newcomb, T. J., Orth, D. J., & Reeser, S. J. (2005). Food habits of selected fish species in the Shenandoah River Basin, Virginia. In Proc Annu Conf Southeast Assoc Fish and Wildl Agencies (Vol. 59, pp. 325-335).",tbl 1,533
Murphy et al.,2005,In Proc Annu Conf Southeast Assoc Fish and Wildl Agencies,"Murphy, G. W., Newcomb, T. J., Orth, D. J., & Reeser, S. J. (2005). Food habits of selected fish species in the Shenandoah River Basin, Virginia. In Proc Annu Conf Southeast Assoc Fish and Wildl Agencies (Vol. 59, pp. 325-335).",tbl 2,534
Murphy et al.,2005,In Proc Annu Conf Southeast Assoc Fish and Wildl Agencies,"Murphy, G. W., Newcomb, T. J., Orth, D. J., & Reeser, S. J. (2005). Food habits of selected fish species in the Shenandoah River Basin, Virginia. In Proc Annu Conf Southeast Assoc Fish and Wildl Agencies (Vol. 59, pp. 325-335).",tbl 3,535
Naiman,1975,Transactions of the American Fisheries Society,NA,tbl 1,541
Naiman,1975,Transactions of the American Fisheries Society,NA,tbl 2,542
Neill,1938,Earth and Environmental Science Transactions of The Royal Society of Edinburgh,"Neill, R. M. (1938). XVIII.—The Food and Feeding of the Brown Trout (Salmo trutta L.) in Relation to the Organic Environment. Earth and Environmental Science Transactions of The Royal Society of Edinburgh, 59(2), 481-520.",tbl B,549
Neuhaus et al.,2016,Journal of Applied Ichthyology,"Neuhaus, E. B., Antonetti, D. A., & Schulz, U. H. (2016). The invasive fish Acestrorhynchus pantaneiro Menezes, 1992 in Southern Brazil: Occurrence and food niche overlap with two native species. Journal of Applied Ichthyology, 32(6), 1107-1112.",tbl 2,550
Nico and Taphorn,1988,Biotropica,"Nico, L. G., & Taphorn, D. C. (1988). Food habits of piranhas in the low llanos of Venezuela. Biotropica, 311-321.",tbl 2,552
Nico and Taphorn,1988,Biotropica,"Nico, L. G., & Taphorn, D. C. (1988). Food habits of piranhas in the low llanos of Venezuela. Biotropica, 311-321.",tbl 3,553
Nico and Taphorn,1988,Biotropica,"Nico, L. G., & Taphorn, D. C. (1988). Food habits of piranhas in the low llanos of Venezuela. Biotropica, 311-321.",tbl 4,554
Nico and Taphorn,1988,Biotropica,"Nico, L. G., & Taphorn, D. C. (1988). Food habits of piranhas in the low llanos of Venezuela. Biotropica, 311-321.",tbl 5,555
Nico and Taphorn,1988,Biotropica,"Nico, L. G., & Taphorn, D. C. (1988). Food habits of piranhas in the low llanos of Venezuela. Biotropica, 311-321.",tbl 6,556
Nico and Taphorn,1988,Biotropica,"Nico, L. G., & Taphorn, D. C. (1988). Food habits of piranhas in the low llanos of Venezuela. Biotropica, 311-321.",tbl 7,557
Nico,1990,Environmental biology of fishes,"Nico, L. G. (1990). Feeding chronology of juvenile piranhas, Pygocentrus notatus, in the Venezuelan llanos. Environmental biology of fishes, 29(1), 51-57.",tbl 2,551
Olaya-Nieto et al.,2016,Revista MVZ Córdoba,"Olaya-Nieto, C. W., Camargo-Herrera, L., Díaz-Sajonero, V., & Segura-Guevara, F. F. (2016). Feeding habits of Cocobolo Andinoacara pulcher in the cienaga Grande de Lorica, Colombia. Revista MVZ Córdoba, 21(1), 5189-5197.",tbl 1,591
Nilsson,1955,Report of Institute of Freshwater Research Drottningholm,"Nilsson, N. A. (1955). Studies on the feeding hibits of trout and char in north Swedish lakes. Report of Institute of Freshwater Research Drottningholm, 36, 163-225.",tbl 13,562
Nilsson and Northcote,1981,Canadian Journal of Fisheries and Aquatic Sciences,"Nilsson, N. A., & Northcote, T. G. (1981). Rainbow trout (Salmo gairdneri) and cutthroat trout (S. clarki) interactions in coastal British Columbia lakes. Canadian Journal of Fisheries and Aquatic Sciences, 38(10), 1228-1246.",tbl 4,563
Nilsson and Northcote,1981,Canadian Journal of Fisheries and Aquatic Sciences,"Nilsson, N. A., & Northcote, T. G. (1981). Rainbow trout (Salmo gairdneri) and cutthroat trout (S. clarki) interactions in coastal British Columbia lakes. Canadian Journal of Fisheries and Aquatic Sciences, 38(10), 1228-1246.",tbl 5,564
Nilsson and Northcote,1981,Canadian Journal of Fisheries and Aquatic Sciences,"Nilsson, N. A., & Northcote, T. G. (1981). Rainbow trout (Salmo gairdneri) and cutthroat trout (S. clarki) interactions in coastal British Columbia lakes. Canadian Journal of Fisheries and Aquatic Sciences, 38(10), 1228-1246.",tbl 6,565
Okey et al.,2017,Fish Aqua J,"Okey, I., Offem, B. O., & Keremah, R. I. (2017). Length-weight relationship, condition factor and gut content of Chrysichthys furcatus Gunther, 1864 (Bagridae) from Cross River at Ahaha. Fish Aqua J, 8(228), 2.",tbl 1,589
Olojo et al.,2003,"NAGA, WorldFish Center Quarterly","Olojo, E. A. A., Olurin, K. B., & Osikoya, O. J. (2003). Food and feeding habits of Synodontis nigrita from the Osun River, SW Nigeria.",tbl 1,592
Olurin,1991,Archiv fuer Hydrobiologie,"Olurin, K. B., & Awolesi, O. O. (1991). Food of some fishes of Owa Stream, south-western Nigeria. Archiv fuer Hydrobiologie, 122(1), 95-103.",tbl 1,594
Olurin,1991,Archiv fuer Hydrobiologie,"Olurin, K. B., & Awolesi, O. O. (1991). Food of some fishes of Owa Stream, south-western Nigeria. Archiv fuer Hydrobiologie, 122(1), 95-103.",tbl 2,595
Otuogbai et al.,2000,"Edo State University, Department of Zoology","Otuogbai, T. M., Ikhenoba, A., & Elakhame, L. (2000). Food and feeding habits of the African lungfish, Protopterus annectens (Owens)(Pisces: Sarcopterygii) in the flood plains of River Niger in Etsako east of Edo State, Nigeria.",tbl 3,600
Owolabi,2008,Revista de biologia tropical,"Owolabi, O. D. (2008). The dietary habits of the upside-down catfish, Synodontis membranaceus (Osteichthyes: Mochokidae) in Jebba lake, Nigeria. Revista de biologia tropical, 56(2), 931-936.",tbl 1,601
Panek and Weis,2013,Northeastern Naturalist,"Panek, F. M., & Weis, J. S. (2013). Diet of the Eastern Mudminnow (Umbra pygmaea DeKay) from two geographically distinct populations within the North American native range. Northeastern Naturalist, 20(1), 37-48.",tbl 1,603
Panek and Weis,2013,Northeastern Naturalist,"Panek, F. M., & Weis, J. S. (2013). Diet of the Eastern Mudminnow (Umbra pygmaea DeKay) from two geographically distinct populations within the North American native range. Northeastern Naturalist, 20(1), 37-48.",tbl 3,604
Pereira,2007,Neotropical Ichthyology,"Pereira, P. R., Agostinho, C. S., Oliveira, R. J. D., & Marques, E. E. (2007). Trophic guilds of fishes in sandbank habitats of a Neotropical river. Neotropical Ichthyology, 5(3), 399-404.",tbl 2,608
Perry,1970,"Doctoral dissertation, Kansas State University","Perry, K. R. (1970). The distribution and food habits of bottom fishes in Tuttle Creek Reservoir (Doctoral dissertation, Kansas State University).",tbl18,609
Perry,1970,"Doctoral dissertation, Kansas State University","Perry, K. R. (1970). The distribution and food habits of bottom fishes in Tuttle Creek Reservoir (Doctoral dissertation, Kansas State University).",tbl19,610
Pollard,1973,Australian Journal of Marine and Freshwater Research,NA,tbl 6,626
Pollard,1973,Australian Journal of Marine and Freshwater Research,"Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.",tbl 3,625
Pontius et al.,1973,Transactions of the American Fisheries Society,"Pontius, R. W., & Parker, M. (1973). Food habits of the mountain whitefish, Prosopium williamsoni (Girard). Transactions of the American Fisheries Society, 102(4), 764-773.",tbl 1,630
Pothoven & Madenjian,2013,North American Journal of Fisheries Management,"Pothoven, S. A., & Madenjian, C. P. (2013). Increased piscivory by lake whitefish in Lake Huron. North American Journal of Fisheries Management, 33(6), 1194-1202.",tbl 1,631
Pothoven et al.,2017,Ecology of Freshwater Fish,"Pothoven, S. A., Madenjian, C. P., & Höök, T. O. (2017). Feeding ecology of the walleye (Percidae, Sander vitreus), a resurgent piscivore in Lake Huron (Laurentian Great Lakes) after shifts in the prey community. Ecology of Freshwater Fish, 26(4), 676-685.",tbl 3,632
Quist et al.,2002,Journal of Fish Biology,"Quist, M. C., Guy, C. S., Bernot, R. J., & Stephen, J. L. (2002). Seasonal variation in condition, growth and food habits of walleye in a Great Plains reservoir and simulated effects of an altered thermal regime. Journal of Fish Biology, 61(6), 1329-1344.",tbl 1,634
Quist et al.,2006,The Southwestern Naturalist,"Quist, M. C., Bower, M. R., & Hubert, W. A. (2006). Summer food habits and trophic overlap of roundtail chub and creek chub in Muddy Creek, Wyoming. The Southwestern Naturalist, 51(1), 22-27.",tbl 1,637
Reinthal,1990,Environmental Biology of Fishes,"Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa",tbl1,646
Quist et al.,2006,The Southwestern Naturalist,"Quist, M. C., Bower, M. R., & Hubert, W. A. (2006). Summer food habits and trophic overlap of roundtail chub and creek chub in Muddy Creek, Wyoming. The Southwestern Naturalist, 51(1), 22-27.",apdx 1,635
Quist et al.,2007,The Southwestern Naturalist,"Quist, M. C., Bower, M. R., & Hubert, W. A. (2006). Summer food habits and trophic overlap of roundtail chub and creek chub in Muddy Creek, Wyoming. The Southwestern Naturalist, 51(1), 22-27.",apdx 1,638
Quist et al.,2008,The Southwestern Naturalist,"Quist, M. C., Bower, M. R., & Hubert, W. A. (2006). Summer food habits and trophic overlap of roundtail chub and creek chub in Muddy Creek, Wyoming. The Southwestern Naturalist, 51(1), 22-27.",apdx 1,639
Quist et al.,2009,The Southwestern Naturalist,"Quist, M. C., Bower, M. R., & Hubert, W. A. (2006). Summer food habits and trophic overlap of roundtail chub and creek chub in Muddy Creek, Wyoming. The Southwestern Naturalist, 51(1), 22-27.",apdx 1,640
